species,count,fraction
fish,14,0.14
goldfish,4,0.04
dianchi_golden_line_fish,3,0.03
atlantic_cod,2,0.02
pygmy_chimpanzee,2,0.02
yangtze_river_dolphin,2,0.02
african_clawed_frog,2,0.02
mangrove_killifish,2,0.02
guppy,2,0.02
climbing_perch,2,0.02
kaup_s_arrowtooth_eel,2,0.02
european_freshwater_eel,2,0.02
zebrafish,2,0.02
eastern_brown_snake,1,0.01
brownbanded_bambooshark,1,0.01
ghost_shark,1,0.01
northern_white_cheeked_gibbon,1,0.01
patagonian_toothfish,1,0.01
duckbill_platypus,1,0.01
egyptian_fruit_bat,1,0.01
tasmanian_devil,1,0.01
komodo_dragon,1,0.01
koala,1,0.01
ord_s_kangaroo_rat,1,0.01
western_european_hedgehog,1,0.01
crab_eating_macaque,1,0.01
coquerel_s_sifaka,1,0.01
bovine,1,0.01
sperm_whale,1,0.01
south_central_black_rhinoceros,1,0.01
wild_yak,1,0.01
donkey,1,0.01
marine_medaka,1,0.01
western_clawed_frog,1,0.01
gaboon_caecilian,1,0.01
western_spadefoot_toad,1,0.01
puerto_rican_coqui,1,0.01
atlantic_salmon,1,0.01
blunt_snouted_clingfish,1,0.01
fairy_cichlid,1,0.01
green_anole,1,0.01
burmese_python,1,0.01
american_bullfrog,1,0.01
reptile,1,0.01
frogmouth,1,0.01
tongue_sole,1,0.01
japanese_pufferfish,1,0.01
turbot,1,0.01
amphibian,1,0.01
shorebird,1,0.01
european_seabass,1,0.01
indian_cobra,1,0.01
lumpsucker,1,0.01
siamese_fighting_fish,1,0.01
benguela_hake,1,0.01
golden_pheasant,1,0.01
northern_pike,1,0.01
jewelled_blenny,1,0.01
japanese_rice_fish,1,0.01
tarpon,1,0.01
live_sharksucker,1,0.01
atlantic_sturgeon,1,0.01
nile_tilapia,1,0.01
antarctic_cod,1,0.01
dark_eyed_junco,1,0.01
spotted_gar,1,0.01
chinook_salmon,1,0.01
common_carp,1,0.01
senegal_bichir,1,0.01
asian_bonytongue,1,0.01
lake_trout,1,0.01
cave_loach,1,0.01
