patch_id,n_res,total_SASA_A2,mean_RSA,planarity,wet_rim_dry_core_score,loop_fraction,epitope_score,epitope_like,chains
8,21,1755.5,0.475,0.211,0.433,0.952,0.444,False,1
9,15,1100.9,0.47,0.255,0.183,0.867,0.432,False,1
12,23,2144.5,0.497,0.136,0.533,0.087,0.407,False,1
5,30,2580.4,0.48,0.097,0.583,0.3,0.374,False,0
11,50,3949.6,0.474,0.128,0.565,0.56,0.373,False,1
10,30,2610.6,0.484,0.105,0.525,0.267,0.353,False,1
4,67,5964.1,0.499,0.167,0.552,0.313,0.316,False,0
2,26,1903.9,0.452,0.232,0.264,0.808,0.313,False,0
3,34,2613.8,0.469,0.176,0.3,0.794,0.308,False,0
6,40,3176.5,0.464,0.212,0.462,0.6,0.293,False,1
7,32,2271.2,0.429,0.223,0.231,0.719,0.251,False,1
1,70,5444.3,0.447,0.329,0.521,0.714,0.229,False,0
