Gene,UniProt_ID,Subcellular_Location,GO_Biological_Process,GO_Cellular_Component
DOCK1,Q14185,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Membrane {ECO:0000305}. Note=Recruited to membranes via its interaction with phosphatidylinositol 3,4,5-trisphosphate. {ECO:0000305}.","apoptotic process [GO:0006915]; cell migration [GO:0016477]; integrin-mediated signaling pathway [GO:0007229]; myoblast fusion [GO:0007520]; phagocytosis, engulfment [GO:0006911]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; regulation of postsynapse assembly [GO:0150052]; signal transduction [GO:0007165]; small GTPase-mediated signal transduction [GO:0007264]",cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; guanyl-nucleotide exchange factor complex [GO:0032045]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]
ANKRD13C,Q8N6S4,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:20959461}. Note=Associated with the cytosolic side.,cellular response to prostaglandin D stimulus [GO:0071799]; protein retention in ER lumen [GO:0006621]; protein targeting to membrane [GO:0006612]; regulation of anoikis [GO:2000209],cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; perinuclear region of cytoplasm [GO:0048471]
CDS1,Q92903,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:25375833, ECO:0000269|PubMed:26946540, ECO:0000269|PubMed:31548309}; Multi-pass membrane protein {ECO:0000255}.",CDP-diacylglycerol biosynthetic process [GO:0016024]; lipid droplet formation [GO:0140042]; phosphatidylinositol biosynthetic process [GO:0006661]; phototransduction [GO:0007602]; positive regulation of fat cell differentiation [GO:0045600]; signal transduction [GO:0007165],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]
ELMO2,Q96JJ3,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20679435}. Cytoplasm, cytosol {ECO:0000269|PubMed:20679435}. Membrane {ECO:0000269|PubMed:20679435}.",actin filament organization [GO:0007015]; apoptotic process [GO:0006915]; cell chemotaxis [GO:0060326]; cell motility [GO:0048870]; phagocytosis [GO:0006909],cytosol [GO:0005829]; membrane [GO:0016020]
ELMO1,Q92556,SUBCELLULAR LOCATION: Cytoplasm. Cell membrane. Note=Translocation to plasma membrane seems to be mediated by DOCK1 and CRK.,"actin cytoskeleton organization [GO:0030036]; actin filament organization [GO:0007015]; apoptotic process [GO:0006915]; cell motility [GO:0048870]; phagocytosis, engulfment [GO:0006911]; Rac protein signal transduction [GO:0016601]; regulation of postsynapse assembly [GO:0150052]",cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; guanyl-nucleotide exchange factor complex [GO:0032045]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]
GRIN1,Q05586,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26875626, ECO:0000269|PubMed:26919761, ECO:0000269|PubMed:28095420, ECO:0000269|PubMed:28105280, ECO:0000269|PubMed:28126851, ECO:0000269|PubMed:28228639, ECO:0000269|PubMed:38538865, ECO:0000269|PubMed:7685113}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P35439}. Postsynaptic cell membrane {ECO:0000250|UniProtKB:P35438}. Postsynaptic density membrane {ECO:0000250|UniProtKB:P35439}. Synaptic cell membrane {ECO:0000250|UniProtKB:P35438}. Note=Synaptic cell membrane targeting is dependent of GRIN2B/GluN2B subunit (By similarity). Association with GRIN3A occurs in the endoplasmic reticulum (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P35438, ECO:0000250|UniProtKB:P35439}.","brain development [GO:0007420]; calcium ion homeostasis [GO:0055074]; calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; chemical synaptic transmission [GO:0007268]; excitatory chemical synaptic transmission [GO:0098976]; excitatory postsynaptic potential [GO:0060079]; ionotropic glutamate receptor signaling pathway [GO:0035235]; monoatomic cation transmembrane transport [GO:0098655]; monoatomic cation transport [GO:0006812]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of transcription by RNA polymerase II [GO:0045944]; propylene metabolic process [GO:0018964]; protein heterotetramerization [GO:0051290]; regulation of membrane potential [GO:0042391]; regulation of monoatomic cation transmembrane transport [GO:1904062]; regulation of neuronal synaptic plasticity [GO:0048168]; regulation of synaptic plasticity [GO:0048167]; response to ethanol [GO:0045471]; response to glycine [GO:1905429]; sodium ion transmembrane transport [GO:0035725]; visual learning [GO:0008542]",cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; excitatory synapse [GO:0060076]; monoatomic ion channel complex [GO:0034702]; neuron projection [GO:0043005]; neurotransmitter receptor complex [GO:0098878]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic density membrane [GO:0098839]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]; synaptic cleft [GO:0043083]; synaptic membrane [GO:0097060]; synaptic vesicle [GO:0008021]; terminal bouton [GO:0043195]
DOCK5,Q9H7D0,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19004829}. Cell membrane {ECO:0000269|PubMed:19004829}. Cell projection, podosome {ECO:0000250|UniProtKB:B2RY04}. Note=Associated with the edge of the plasma membrane in Caco-2 intestinal epithelial cells spreading on type IV collagen. {ECO:0000269|PubMed:19004829}.",bone remodeling [GO:0046849]; cell migration [GO:0016477]; myoblast fusion [GO:0007520]; negative regulation of vascular associated smooth muscle contraction [GO:1904694]; podosome assembly [GO:0071800]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; Rac protein signal transduction [GO:0016601],anchoring junction [GO:0070161]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; podosome [GO:0002102]
CISD2,Q8N5K1,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass membrane protein. Mitochondrion outer membrane; Single-pass membrane protein. Note=According to PubMed:20010695, it mainly localizes to the endoplasmic reticulum. However, experiments in mouse showed that it mainly localizes to the mitochondrion outer membrane.",autophagy of mitochondrion [GO:0000422]; regulation of autophagy [GO:0010506],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; perinuclear endoplasmic reticulum [GO:0097038]; protein-containing complex [GO:0032991]
PTPRK,Q15262,"SUBCELLULAR LOCATION: Cell junction, adherens junction. Cell membrane; Single-pass type I membrane protein.",cell adhesion [GO:0007155]; cell migration [GO:0016477]; cellular response to reactive oxygen species [GO:0034614]; cellular response to UV [GO:0034644]; focal adhesion assembly [GO:0048041]; negative regulation of cell cycle [GO:0045786]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of keratinocyte proliferation [GO:0010839]; neuron projection development [GO:0031175]; protein dephosphorylation [GO:0006470]; protein localization to cell surface [GO:0034394]; signal transduction [GO:0007165]; transforming growth factor beta receptor signaling pathway [GO:0007179],adherens junction [GO:0005912]; cell junction [GO:0030054]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; intracellular membrane-bounded organelle [GO:0043231]; leading edge membrane [GO:0031256]; membrane [GO:0016020]; plasma membrane [GO:0005886]
GPR89A,B7ZAQ6,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:18794847}; Multi-pass membrane protein {ECO:0000255}.,intracellular pH reduction [GO:0051452]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; protein transport [GO:0015031]; T cell differentiation [GO:0030217],Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; Golgi-associated vesicle membrane [GO:0030660]; monoatomic ion channel complex [GO:0034702]
